Year,Name,Revenue,Rank,Twitter,Sector
2021,3M,32184,96,"""[3M,3MOpen,3mhalfmarathon,3MNews,3MUK,3MIndia,3MSafety,3MHealthCare,3MCollision,3MAustria,3MOralCare,3MScott,3MCanada,3mcarcareindia,3MFilmsUK,3MHISNews,3MScotchlite,3MScreens,3MFilms,3MEurope,Atlantic_3Ms,3MBIC]""",Industrials
2021,TJX,32137,97,"""[tjmaxx]""",Retailing
2021,Travelers,31981,98,"""[Travelers,TravelersChamp]""",Finance
2021,Capital One,31643,99,"""[CapitalOne,CapitalOneArena,CapitalOneCafe,capitalonenews,CapitalOneTech,CapitalOneUK,CapitalOneBiz,CapitalOneCA,IAmCapitalOne,TeamShopAtCOA]""",Finance
2021,Tesla,31536,100,"""[Tesla,TeslaBand,elonmusk,teslascience,TeslaMotorsClub]""",Transportation
2021,Philip Morris International,28694,101,"""[InsidePMI]""",Food
2021,Arrow Electronics,28673.4,102,"""[ArrowGlobal,Richardson_RFPD,arrowasia]""",Wholesalers
2021,CHS,28406.4,103,"""[CHSInc,hedgeit,CHSGovAffairs]""",Food
2021,Jabil,27266.4,104,"""[Jabil,NyproHealthcare,SW_services,JabilDefense]""",Technology
2021,Enterprise Products,27199.7,105,"""[Eprod_Careers]""",Energy
2021,Hewlett Packard Enterprise,26982,106,"""[HP,HPUK,HP_newsroom,HPChannelNews,HPSustainable,HPCareers,Hpdeals,OMENbyHP,HPSingapore,hplabs,HPEDU,HPIndia,HPBusiness,HPE_labs,HPE,HPE_OEM,HPE_IN]""",Technology
2021,United Natural Foods,26742.8,107,"""[UNFI]""",Wholesalers
2021,Mondelez International,26581,108,"""[MDLZ]""",Food
2021,Viacom,26186,109,"""[viacom18,Viacom18Studios,VIMN_PR,viacbsstreaming,ViacomStudiosUK,HEREAtViacom,ViaCBS_VF,Viacom18Store,ViacomGenChange,ViacomMusic,Viacommunity]""",Media
2021,Kraft Heinz,26185,110,"""[KraftBrand,kraftmacncheese,KraftHeinzCo,KraftSingles,KraftPB,kraftcheese,KraftHeinzCan,RealKraftMayo,HeinzUK]""",Food
2021,Dollar Tree,25509.3,111,"""[DollarTree]""",Retailing
2021,Amgen,25424,112,"""[Amgen,AmgenTOC,AmgenOncology,AmgenFoundation,AmgenBiosim,theamgen,AmgenCanadaGM]""",Healthcare
2021,U.S. Bancorp,25241,113,"""[usbank,usbank_news,bancorpventures,usbankstadium]""",Finance
2021,Performance Food Group,25086.3,114,"""[performncefoods,PFGCareers]""",Wholesalers
2021,Netflix,24996.1,115,"""[netflix,NetflixUK,NetflixFilm,NetflixIndia,Netflix_CA,NetflixGeeked,NetflixNordic,NetflixIsAJoke,TheCrownNetflix,WeAreNetflix,StarTrekNetflix,NetflixEng,dvdnetflix,Netflixfood]""",Media
2021,Gilead Sciences,24689,116,"""[GileadSciences,GileadOncology]""",Healthcare
2021,Synnex,24675.6,117,"""[SYNNEX,TDSYNNEX,SYNNEXFinancial,Varnex]""",Wholesalers
2021,Eli Lilly,24539.8,118,"""[LillyPad,LillyPadEU,LillyRheumEU]""",Healthcare
